Name,Adresse 1,Adresse 2,Zip code,City,Country code
Organisation FR First,12 Rue de Paris,Appartement 5,35080,Paris,FR
Organisation FR Second,15 Avenue de Marseille,,42964,Marseille,FR
Organisation EN First,42 London Street,,56894,London,EN
Organisation EN Second,68 Manchester Square,,63258,Manchester,EN
Organisation DE First,17 Berlin Strasse,,25023,Berlin,DE
Organisation DE Second,64 Hamburg Strasse,,24235,Hamburg,DE
Organisation ES First,42 Av. de Madrid,,15356,Madrid,ES
Organisation ES Second,38 Av. de Barcelona,,89652,Barcelone,ES
Organisation IT first,72 Via Roma,,45783,Rome,IT
Organisation IT Second,96 Via Firenze,,12574,Firenze,IT
